~id,~label,healthCodeDescription:String
353625C,Policy_Holder,
643526A,Policy_Holder,
745353B,Policy_Holder,
345627C,Policy_Holder,
276463A,Policy_Holder,
452625D,Policy_Holder,
786528H,Policy_Holder,
787654F,Policy_Holder,
243567C,Policy_Holder,
657394D,Policy_Holder,
886453A,Policy_Holder,
237865D,Policy_Holder,
846472A,Policy_Holder,
123348D,Policy_Holder,
878765E,Policy_Holder,
758576D,Policy_Holder,
454637D,Policy_Holder,
363285C,Policy_Holder,
425399W,Policy_Holder,
552576G,Policy_Holder,
055693X,Policy_Holder,
872661Y,Policy_Holder,
085271W,Policy_Holder,
902274J,Policy_Holder,
690596K,Policy_Holder,
894435R,Policy_Holder,
832624I,Policy_Holder,
590777M,Policy_Holder,
460536D,Policy_Holder,
307731Y,Policy_Holder,
248531X,Policy_Holder,
080059I,Policy_Holder,
909428P,Policy_Holder,
187240K,Policy_Holder,
477480L,Policy_Holder,
140320I,Policy_Holder,
074886H,Policy_Holder,
218685B,Policy_Holder,
008801T,Policy_Holder,
081126F,Policy_Holder,
284812W,Policy_Holder,
933459V,Policy_Holder,
232621M,Policy_Holder,
739587T,Policy_Holder,
258473K,Policy_Holder,
073726Y,Policy_Holder,
085782V,Policy_Holder,
024794J,Policy_Holder,
752294J,Policy_Holder,
462349Q,Policy_Holder,
669795M,Policy_Holder,
044867F,Policy_Holder,
378695A,Policy_Holder,
359929K,Policy_Holder,
680439Y,Policy_Holder,
856479J,Policy_Holder,
699713N,Policy_Holder,
653407Q,Policy_Holder,
581475M,Policy_Holder,
420655A,Policy_Holder,
448218T,Policy_Holder,
245982S,Policy_Holder,
794700N,Policy_Holder,
751061F,Policy_Holder,
939997E,Policy_Holder,
742256H,Policy_Holder,
300542L,Policy_Holder,
050555Z,Policy_Holder,
840243E,Policy_Holder,
801744V,Policy_Holder,
704246G,Policy_Holder,
345267P,Policy_Holder,
090476V,Policy_Holder,
631527A,Policy_Holder,
745108K,Policy_Holder,
615183U,Policy_Holder,
714549N,Policy_Holder,
958853E,Policy_Holder,
903679S,Policy_Holder,
753119H,Policy_Holder,
463406G,Policy_Holder,
476826C,Policy_Holder,
950816W,Policy_Holder,
492052Z,Policy_Holder,
106251M,Policy_Holder,
366392X,Policy_Holder,
146361Z,Policy_Holder,
634364N,Policy_Holder,
133864F,Policy_Holder,
429128G,Policy_Holder,
242846M,Policy_Holder,
423756K,Policy_Holder,
568570I,Policy_Holder,
234946J,Policy_Holder,
601049G,Policy_Holder,
228686Z,Policy_Holder,
292719H,Policy_Holder,
078730J,Policy_Holder,
038799A,Policy_Holder,
554408X,Policy_Holder,
789974K,Policy_Holder,
964011K,Policy_Holder,
018756I,Policy_Holder,
539324K,Policy_Holder,
180457S,Policy_Holder,
684854T,Policy_Holder,
171196H,Policy_Holder,
321955I,Policy_Holder,
112978V,Policy_Holder,
993953W,Policy_Holder,
741412X,Policy_Holder,
189654W,Policy_Holder,
377495Z,Policy_Holder,
707521E,Policy_Holder,
084182S,Policy_Holder,
805158C,Policy_Holder,
771641C,Policy_Holder,
849654Q,Policy_Holder,
120754M,Policy_Holder,
711789S,Policy_Holder,
324624L,Policy_Holder,
967579P,Policy_Holder,
875297P,Policy_Holder,
323246J,Policy_Holder,
799285K,Policy_Holder,
848337B,Policy_Holder,
591717S,Policy_Holder,
306498C,Policy_Holder,
590007M,Policy_Holder,
270475R,Policy_Holder,
357316B,Policy_Holder,
371854K,Policy_Holder,
589450F,Policy_Holder,
892807W,Policy_Holder,
599015U,Policy_Holder,
801109T,Policy_Holder,
689264C,Policy_Holder,
427069Q,Policy_Holder,
272728S,Policy_Holder,
633872J,Policy_Holder,
628410W,Policy_Holder,
888625L,Policy_Holder,
741313L,Policy_Holder,
429209H,Policy_Holder,
028214T,Policy_Holder,
097386W,Policy_Holder,
105223E,Policy_Holder,
423569I,Policy_Holder,
888060E,Policy_Holder,
077443E,Policy_Holder,
107180S,Policy_Holder,
843602Z,Policy_Holder,
677400H,Policy_Holder,
954365X,Policy_Holder,
452336O,Policy_Holder,
053575C,Policy_Holder,
255422U,Policy_Holder,
897716S,Policy_Holder,
543939W,Policy_Holder,
030965B,Policy_Holder,
391668A,Policy_Holder,
561945U,Policy_Holder,
380226W,Policy_Holder,
137292V,Policy_Holder,
860242U,Policy_Holder,
769041P,Policy_Holder,
745135T,Policy_Holder,
165366E,Policy_Holder,
221304W,Policy_Holder,
897264E,Policy_Holder,
800082R,Policy_Holder,
765039R,Policy_Holder,
943300F,Policy_Holder,
050398X,Policy_Holder,
970472A,Policy_Holder,
154772H,Policy_Holder,
877357W,Policy_Holder,
300084O,Policy_Holder,
848316P,Policy_Holder,
338502V,Policy_Holder,
380248V,Policy_Holder,
349497Y,Policy_Holder,
570691Q,Policy_Holder,
354238Z,Policy_Holder,
595748R,Policy_Holder,
770273W,Policy_Holder,
660271X,Policy_Holder,
166012B,Policy_Holder,
785698T,Policy_Holder,
778339D,Policy_Holder,
996535B,Policy_Holder,
506470F,Policy_Holder,
460442A,Policy_Holder,
551044K,Policy_Holder,
082150P,Policy_Holder,
547362C,Policy_Holder,
609824L,Policy_Holder,
302234N,Policy_Holder,
679227Y,Policy_Holder,
698026D,Policy_Holder,
544860R,Policy_Holder,
530907V,Policy_Holder,
462360Y,Policy_Holder,
755314D,Policy_Holder,
817448J,Policy_Holder,
420781T,Policy_Holder,
299153V,Policy_Holder,
658682X,Policy_Holder,
805312S,Policy_Holder,
087660H,Policy_Holder,
578754F,Policy_Holder,
709112G,Policy_Holder,
560170S,Policy_Holder,
933663Z,Policy_Holder,
268250N,Policy_Holder,
092553O,Policy_Holder,
541537J,Policy_Holder,
367962O,Policy_Holder,
187631G,Policy_Holder,
459810L,Policy_Holder,
085709Q,Policy_Holder,
836889B,Policy_Holder,
335825X,Policy_Holder,
908995Q,Policy_Holder,
810343N,Policy_Holder,
640001N,Policy_Holder,
836875A,Policy_Holder,
863844Q,Policy_Holder,
483163M,Policy_Holder,
680673A,Policy_Holder,
948494O,Policy_Holder,
429585D,Policy_Holder,
775780G,Policy_Holder,
359807R,Policy_Holder,
812105B,Policy_Holder,
841614S,Policy_Holder,
150048N,Policy_Holder,
645310C,Policy_Holder,
241374A,Policy_Holder,
698905P,Policy_Holder,
509986O,Policy_Holder,
382654Z,Policy_Holder,
931392A,Policy_Holder,
912754G,Policy_Holder,
419242F,Policy_Holder,
094613S,Policy_Holder,
794386E,Policy_Holder,
574307T,Policy_Holder,
037393L,Policy_Holder,
113204D,Policy_Holder,
874790I,Policy_Holder,
388032Y,Policy_Holder,
499554N,Policy_Holder,
160945M,Policy_Holder,
205356U,Policy_Holder,
241719M,Policy_Holder,
792570W,Policy_Holder,
612501R,Policy_Holder,
513445N,Policy_Holder,
552080W,Policy_Holder,
533385D,Policy_Holder,
509842D,Policy_Holder,
588493F,Policy_Holder,
615042S,Policy_Holder,
874272J,Policy_Holder,
067502C,Policy_Holder,
222087O,Policy_Holder,
637765G,Policy_Holder,
071020D,Policy_Holder,
531814V,Policy_Holder,
086183F,Policy_Holder,
849065J,Policy_Holder,
259352T,Policy_Holder,
375053J,Policy_Holder,
644917Y,Policy_Holder,
255580S,Policy_Holder,
583082Z,Policy_Holder,
111627Q,Policy_Holder,
121122W,Policy_Holder,
590137F,Policy_Holder,
210036B,Policy_Holder,
799534T,Policy_Holder,
008236Z,Policy_Holder,
527868S,Policy_Holder,
598811Q,Policy_Holder,
935740A,Policy_Holder,
081789Y,Policy_Holder,
344665T,Policy_Holder,
279844K,Policy_Holder,
561898X,Policy_Holder,
787739C,Policy_Holder,
490258W,Policy_Holder,
394950A,Policy_Holder,
864595H,Policy_Holder,
475946V,Policy_Holder,
751915M,Policy_Holder,
508405Y,Policy_Holder,
084749A,Policy_Holder,
279305Z,Policy_Holder,
248594F,Policy_Holder,
393474I,Policy_Holder,
788953S,Policy_Holder,
598575E,Policy_Holder,
609566T,Policy_Holder,
834183G,Policy_Holder,
992583C,Policy_Holder,
460163K,Policy_Holder,
626925Z,Policy_Holder,
485142O,Policy_Holder,
980892V,Policy_Holder,
620633H,Policy_Holder,
906676D,Policy_Holder,
088847H,Policy_Holder,
080230S,Policy_Holder,
986013A,Policy_Holder,
636033Y,Policy_Holder,
384899Z,Policy_Holder,
405979K,Policy_Holder,
031446S,Policy_Holder,
873997R,Policy_Holder,
763249K,Policy_Holder,
737397K,Policy_Holder,
846963S,Policy_Holder,
270842J,Policy_Holder,
923682S,Policy_Holder,
978265U,Policy_Holder,
075385F,Policy_Holder,
446559R,Policy_Holder,
200556P,Policy_Holder,
697825M,Policy_Holder,
618527Y,Policy_Holder,
492110H,Policy_Holder,
395349G,Policy_Holder,
778724Z,Policy_Holder,
557090K,Policy_Holder,
793839X,Policy_Holder,
534669A,Policy_Holder,
811567S,Policy_Holder,
907821Q,Policy_Holder,
012536D,Policy_Holder,
606658M,Policy_Holder,
715012Q,Policy_Holder,
905772H,Policy_Holder,
410388J,Policy_Holder,
639617I,Policy_Holder,
196778O,Policy_Holder,
148537N,Policy_Holder,
486806D,Policy_Holder,
425457E,Policy_Holder,
262308E,Policy_Holder,
571462D,Policy_Holder,
216498A,Policy_Holder,
392575A,Policy_Holder,
076991X,Policy_Holder,
797106D,Policy_Holder,
077805H,Policy_Holder,
205980W,Policy_Holder,
062285V,Policy_Holder,
398122E,Policy_Holder,
249859P,Policy_Holder,
689264Z,Policy_Holder,
476068M,Policy_Holder,
335159V,Policy_Holder,
796784N,Policy_Holder,
744840J,Policy_Holder,
199740E,Policy_Holder,
686895T,Policy_Holder,
230571B,Policy_Holder,
268499O,Policy_Holder,
104992E,Policy_Holder,
958735H,Policy_Holder,
655173N,Policy_Holder,
945646W,Policy_Holder,
980508Q,Policy_Holder,
664305A,Policy_Holder,
450017J,Policy_Holder,
490945T,Policy_Holder,
231543W,Policy_Holder,
610194S,Policy_Holder,
470777U,Policy_Holder,
190339R,Policy_Holder,
908075L,Policy_Holder,
366598O,Policy_Holder,
554758U,Policy_Holder,
585808P,Policy_Holder,
041694J,Policy_Holder,
158881J,Policy_Holder,
764285T,Policy_Holder,
798302M,Policy_Holder,
439792L,Policy_Holder,
728359H,Policy_Holder,
841362L,Policy_Holder,
634157I,Policy_Holder,
562367L,Policy_Holder,
849938J,Policy_Holder,
357732B,Policy_Holder,
402412B,Policy_Holder,
809558R,Policy_Holder,
121179K,Policy_Holder,
770131E,Policy_Holder,
889904J,Policy_Holder,
226710H,Policy_Holder,
827908G,Policy_Holder,
031481Z,Policy_Holder,
670308N,Policy_Holder,
436943U,Policy_Holder,
391166E,Policy_Holder,
547763U,Policy_Holder,
561087Y,Policy_Holder,
163960F,Policy_Holder,
671727X,Policy_Holder,
671333T,Policy_Holder,
698350W,Policy_Holder,
708044S,Policy_Holder,
358275Y,Policy_Holder,
796025T,Policy_Holder,
247355C,Policy_Holder,
714046A,Policy_Holder,
475597S,Policy_Holder,
198021C,Policy_Holder,
284740F,Policy_Holder,
099676Z,Policy_Holder,
174974L,Policy_Holder,
448103K,Policy_Holder,
850326E,Policy_Holder,
977642X,Policy_Holder,
403571F,Policy_Holder,
255341G,Policy_Holder,
555326F,Policy_Holder,
112398E,Policy_Holder,
301781K,Policy_Holder,
712278V,Policy_Holder,
602943N,Policy_Holder,
213977A,Policy_Holder,
749438U,Policy_Holder,
745776R,Policy_Holder,
620369B,Policy_Holder,
214038F,Policy_Holder,
847227R,Policy_Holder,
444167M,Policy_Holder,
913274H,Policy_Holder,
971341B,Policy_Holder,
066460X,Policy_Holder,
659877L,Policy_Holder,
113066D,Policy_Holder,
903411K,Policy_Holder,
374209A,Policy_Holder,
019162A,Policy_Holder,
995239V,Policy_Holder,
307572F,Policy_Holder,
217536O,Policy_Holder,
807193P,Policy_Holder,
803201H,Policy_Holder,
898444C,Policy_Holder,
386748U,Policy_Holder,
527401E,Policy_Holder,
055449Y,Policy_Holder,
018230J,Policy_Holder,
746307H,Policy_Holder,
472507F,Policy_Holder,
842530M,Policy_Holder,
430144E,Policy_Holder,
169966A,Policy_Holder,
144546K,Policy_Holder,
764339Q,Policy_Holder,
833854E,Policy_Holder,
816165K,Policy_Holder,
100357O,Policy_Holder,
193146W,Policy_Holder,
770634H,Policy_Holder,
641718T,Policy_Holder,
752521M,Policy_Holder,
477158G,Policy_Holder,
836463H,Policy_Holder,
152040R,Policy_Holder,
668319Y,Policy_Holder,
230460Y,Policy_Holder,
975128N,Policy_Holder,
571678G,Policy_Holder,
695095S,Policy_Holder,
516699L,Policy_Holder,
133468I,Policy_Holder,
053721V,Policy_Holder,
852240O,Policy_Holder,
142245X,Policy_Holder,
896738K,Policy_Holder,
720834N,Policy_Holder,
814977R,Policy_Holder,
664855W,Policy_Holder,
625355V,Policy_Holder,
582931S,Policy_Holder,
228866V,Policy_Holder,
273365C,Policy_Holder,
583726V,Policy_Holder,
429956L,Policy_Holder,
675924F,Policy_Holder,
639890L,Policy_Holder,
190437Z,Policy_Holder,
963304K,Policy_Holder,
238370U,Policy_Holder,
43216 Colorado Crossing,Address,
3 Lakewood Circle,Address,
2 Sycamore Court,Address,
9589 Claremont Trail,Address,
08914 Duke Drive,Address,
51331 Farragut Trail,Address,
9297 Division Alley,Address,
419 Riverside Terrace,Address,
25412 Anzinger Terrace,Address,
0571 Talisman Lane,Address,
9896 Moulton Court,Address,
66137 Maywood Parkway,Address,
81 Linden Plaza,Address,
53660 Florence Alley,Address,
354 Debs Alley,Address,
2387 Mallard Junction,Address,
1 Loeprich Parkway,Address,
24 Buena Vista Place,Address,
1691 Blackbird Lane,Address,
1 Coleman Terrace,Address,
82633 Brickson Park Alley,Address,
0 Welch Drive,Address,
1 6th Road,Address,
275 Center Avenue,Address,
14 Maple Wood Crossing,Address,
0 Marcy Place,Address,
72262 Dennis Avenue,Address,
31 Marquette Plaza,Address,
38 Eggendart Place,Address,
6363 Pankratz Avenue,Address,
26 Warner Center,Address,
721 Pleasure Center,Address,
18 American Ash Junction,Address,
630 Scott Parkway,Address,
5407 Pearson Street,Address,
8521 Mesta Junction,Address,
8 Delladonna Street,Address,
45 Charing Cross Park,Address,
53 Stuart Parkway,Address,
96 Glendale Avenue,Address,
54582 Memorial Street,Address,
8 Debra Road,Address,
78695 Eggendart Court,Address,
878 Calypso Court,Address,
7 Roxbury Center,Address,
4 Warrior Place,Address,
6411 Gale Street,Address,
3 Redwing Drive,Address,
68 Judy Pass,Address,
2880 Cardinal Way,Address,
444 Shoshone Pass,Address,
23338 Riverside Alley,Address,
9912 Schmedeman Trail,Address,
75900 Talisman Junction,Address,
7 Charing Cross Lane,Address,
2 Center Terrace,Address,
118 Shopko Court,Address,
5 Amoth Pass,Address,
8 Hagan Avenue,Address,
47607 Tomscot Terrace,Address,
0398 Sundown Place,Address,
13148 Warbler Hill,Address,
72155 Jackson Park,Address,
6941 Menomonie Circle,Address,
38 Mesta Drive,Address,
45 Glacier Hill Crossing,Address,
36 Cody Crossing,Address,
